domain,availability_code,br,us,uk,br_reason,us_reason,uk_reason
advantaiq,7,error,not available,error,Empty response from server,,"no match for ""advantaiq.co.uk"".        this"
aitara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Analora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
anteva,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
arealens,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
arealis,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
areapeek,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
areapick,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
areasmart,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
areasmarty,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
areawise,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
arely,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Arexa,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Arianta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
assara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
avanplace,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
avantra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
avantro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Aventra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
averra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Avexra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
avyra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Calora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
ceantara,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
ceantra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
civara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
cleverland,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
cleverpeek,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
cleverpick,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Cognara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Cognexa,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
comparea,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
duira,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Elaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Elvanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Factaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Factent,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Factiu,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Factora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Factra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Finda,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findaon,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
FindaroX,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findent,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findentia,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findex,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
FindIQ,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findium,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findix,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findly,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findor,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Findra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
FindraIQ,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
flipflop,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
geovara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Infera,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Intara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
iqplace,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
iqvanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
latara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Locamind,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Locantae,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
locantaiq,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
locara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Locarion,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
locavanta,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
locawise,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
locentra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Locira,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
mandora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
matchplace,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
mindara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
mindaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Mindata,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
mindent,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Mindentia,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
mindera,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Mindex,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
MindIQ,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Mindly,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Mindlytics,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Montra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Neuranta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
nexaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Noranta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Norexa,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Noviqo,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Omnara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Orenta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
orvanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
peekpost,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Percepta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
pickarea,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
pickpost,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placanta,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placelens,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placely,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placematch,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placera,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placero,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placeva,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placewise,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placiq,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
placy,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Plareaq,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
plavant,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Plavantae,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
plintra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Pointaro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Pointix,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Pointra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
postpeek,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
postzip,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
praeva,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
praevia,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
prosava,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
prospex,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
realarea,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
realspot,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
realty,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
realwise,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Revanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Scora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
scoranta,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Score,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
scorent,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
scorion,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
scorix,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
scoro,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
scorvia,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Selora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Sensiqo,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
smartarea,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
smartland,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
smartspot,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
specara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
specyn,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
spotwise,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
spoty,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
suivra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
suoma,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Synara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Tenara,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Tenvora,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
terrava,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
terravanta,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Terravax,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Terriqo,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Terronara,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Terronix,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
terrwise,7,error,available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
Thinkra,7,error,not available,error,Skipped (previous error in this session),,Skipped (previous error in this session)
